expid;expname;nCardsexp;dataexp;
SD22;Structure Deck: Dragonic Legion;0 Cards;10th December;2011
SDDC;Structure Deck: Dragons Collide;40 Cards;1st February;2012
SD19;Structure Deck: Dragunity Drive;0 Cards;19th June;2010
SDDL;Structure Deck: Dragunity Legion;40 Cards;1st March;2011
SR01;Structure Deck: Emperor of Darkness;42 Cards;28th January;2016
SD45;Structure Deck: Forest of the Traptrix;53 Cards;3rd December;2022
SDFC;Structure Deck: Freezing Chains;46 Cards;18th February;2021
SD4;Structure Deck: Fury From The Deep;32 Cards;9th May;2005
SD4-JP;Structure Deck: Fury from the Deep (Japanese);0 Cards;20th January;2005
SDGU;Structure Deck: Gates of the Underworld;39 Cards;1st October;2011
SDGR;Structure Deck: Geargia Rampage;35 Cards;16th October;2014
SDHS;Structure Deck: HERO Strike;45 Cards;29th January;2015
SD27;Structure Deck: HERO's Strike (OCG);45 Cards;21st June;2014
SD40;Structure Deck: Ice Barrier of the Frozen Prison;54 Cards;21st November;2020
SD7;Structure Deck: Invincible Fortress;32 Cards;15th May;2006
SD7-JP;Structure Deck: Invincible Fortress (Japanese);0 Cards;8th December;2005
JY;Structure Deck: Joey (Japanese);0 Cards;25th October;2001
SJ2;Structure Deck: Joey Volume 2;0 Cards;7th August;2003
KA;Structure Deck: Kaiba (Japanese);0 Cards;24th January;2002
SK2;Structure Deck: Kaiba Volume 2;0 Cards;11th December;2003
SR06;Structure Deck: Lair of Darkness;42 Cards;19th April;2018
SDCB;Structure Deck: Legend of the Crystal Beasts;49 Cards;29th September;2022
SD44;Structure Deck: Legend of the Crystals;54 Cards;25th June;2022
SD16;Structure Deck: Lord of the Magician;0 Cards;13th December;2008
SD8;Structure Deck: Lord of the Storm;36 Cards;12th July;2006
SD8-JP;Structure Deck: Lord of the Storm (Japanese);0 Cards;16th March;2006
SDLS;Structure Deck: Lost Sanctuary;39 Cards;1st June;2011
SD20;Structure Deck: Lost Sanctuary (Japanese);0 Cards;20th December;2010
SDMM;Structure Deck: Machina Mayhem;38 Cards;1st February;2010
SD10;Structure Deck: Machine Re-Volt;38 Cards;17th January;2007
SD10-JP;Structure Deck: Machine Re-Volt (Japanese);0 Cards;14th September;2006
SR03;Structure Deck: Machine Reactor;40 Cards;13th April;2017
SD18;Structure Deck: Machiners Command;0 Cards;12th December;2009
SDMA;Structure Deck: Marik;38 Cards;1st October;2010
SDM-JP;Structure Deck: Marik (Japanese);0 Cards;25th March;2004
SD34;Structure Deck: Master Link;44 Cards;23rd June;2018
SDMP;Structure Deck: Master of Pendulum;43 Cards;3rd December;2015
SD29;Structure Deck: Master of Pendulum (OCG);43 Cards;20th June;2015
SD39;Structure Deck: Masters of the Spiritual Arts;59 Cards;4th July;2020
SR10;Structure Deck: Mechanized Madness;41 Cards;16th April;2020
SDOK;Structure Deck: Onslaught of the Fire Kings;39 Cards;1st February;2013
SD24;Structure Deck: Onslaught of the Fire Kings (Japanese);0 Cards;8th December;2012
SR08;Structure Deck: Order of the Spellcasters;41 Cards;25th April;2019
SD42;Structure Deck: Overlay Universe;56 Cards;26th June;2021
PE;Structure Deck: Pegasus (Japanese);0 Cards;21st March;2002
SDPD;Structure Deck: Pendulum Domination;43 Cards;19th January;2017
SD30;Structure Deck: Pendulum Domination (OCG);43 Cards;12th December;2015
SD31;Structure Deck: Pendulum Evolution;43 Cards;23rd December;2016
SDPL;Structure Deck: Powercode Link;42 Cards;9th August;2018
SD33;Structure Deck: Powercode Link (OCG);42 Cards;9th December;2017
SDRE;Structure Deck: Realm of the Sea Emperor;40 Cards;1st October;2012
SD37;Structure Deck: Rebirth of Shaddoll;54 Cards;7th December;2019
SD13;Structure Deck: Revival of the Great Dragon;0 Cards;23rd June;2007
SD36;Structure Deck: Revolver;48 Cards;22nd June;2019
SDRL;Structure Deck: Rise of the Dragon Lords;37 Cards;1st October;2007
SR02;Structure Deck: Rise of the True Dragons;42 Cards;7th July;2016
SD23;Structure Deck: Roar of the Sea Emperor;0 Cards;16th June;2012
SDRR;Structure Deck: Rokket Revolt;46 Cards;15th August;2019
SDSA;Structure Deck: Sacred Beasts;48 Cards;9th July;2020
SD38;Structure Deck: Sacred Beasts of Chaos;53 Cards;20th March;2020
SDBE;Structure Deck: Saga of Blue-Eyes White Dragon;41 Cards;12th September;2013
SDWA;Structure Deck: Samurai Warlords;42 Cards;1st June;2012
SDKS;Structure Deck: Seto Kaiba;44 Cards;20th October;2016
SDKS-JP;Structure Deck: Seto Kaiba (OCG);44 Cards;18th June;2016
SDSH;Structure Deck: Shaddoll Showdown;49 Cards;13th February;2020
SDSB;Structure Deck: Soulburner;45 Cards;14th February;2019
SD35;Structure Deck: Soulburner (OCG);47 Cards;8th December;2018
SDSC;Structure Deck: Spellcaster's Command;39 Cards;1st March;2009
SD6;Structure Deck: Spellcaster's Judgment;36 Cards;22nd September;2005
SD6-JP;Structure Deck: Spellcaster's Judgment (Japanese);0 Cards;22nd September;2005
SDCH;Structure Deck: Spirit Charmers;50 Cards;22nd October;2020
SD11;Structure Deck: Surge of Radiance;0 Cards;14th December;2006
SDSE;Structure Deck: Synchron Extreme;43 Cards;27th August;2015
SD28;Structure Deck: Synchron Extreme (OCG);43 Cards;6th December;2014
SD25;Structure Deck: The Blue-Eyed Dragon's Thundering Descent;0 Cards;15th June;2013
SDDE;Structure Deck: The Dark Emperor;36 Cards;1st April;2008
SDLI;Structure Deck: The Realm of Light;36 Cards;27th June;2014
SD15;Structure Deck: Undead World;0 Cards;21st June;2008
SDWS;Structure Deck: Warrior's Strike;38 Cards;1st October;2009
SD17;Structure Deck: Warrior's Strike (Japanese);0 Cards;20th June;2009
SD5;Structure Deck: Warrior's Triumph;36 Cards;28th October;2005
SD5-JP;Structure Deck: Warrior's Triumph (Japanese);0 Cards;16th June;2005
SR05;Structure Deck: Wave of Light;42 Cards;18th January;2018
YU;Structure Deck: Yugi (Japanese);0 Cards;28th June;2001
SDMY;Structure Deck: Yugi Muto;45 Cards;20th October;2016
SDMY-JP;Structure Deck: Yugi Muto (OCG);45 Cards;18th June;2016
SY2;Structure Deck: Yugi Volume 2;0 Cards;22nd May;2003
SR07;Structure Deck: Zombie Horde;42 Cards;1st November;2018
SD2;Structure Deck: Zombie Madness;29 Cards;1st January;2005
SD2-JP;Structure Deck: Zombie Madness (Japanese);0 Cards;9th December;2004
SDZW;Structure Deck: Zombie World;37 Cards;1st October;2008
SC;Struggle of Chaos;0 Cards;20th September;2001
YS14;Super Starter: Space-Time Showdown;55 Cards;10th July;2014
YS13;Super Starter: V for Victory;57 Cards;1st June;2013
20CP-JPT;Surpassing 10000 Cards Commemoration Special Pack;20 Cards;12th October;2019
VE01;V Jump Edition;0 Cards;21st May;2010
VE02;V Jump Edition 2;0 Cards;21st June;2010
VE03;V Jump Edition 3;0 Cards;21st October;2010
VE04;V Jump Edition 4;0 Cards;21st October;2010
VE05;V Jump Edition 5;0 Cards;21st May;2011
VE06;V Jump Edition 6;0 Cards;21st October;2011
VE07;V Jump Edition 7;0 Cards;21st May;2012
VE08;V Jump Edition 8;0 Cards;11th January;2013
V1;Vol. 1;0 Cards;4th February;1999
V2;Vol. 2;0 Cards;27th March;1999
V3;Vol. 3;0 Cards;27th May;1999
V4;Vol. 4;0 Cards;22nd July;1999
V5;Vol. 5;0 Cards;23rd September;1999
V6;Vol. 6;0 Cards;18th November;1999
V7;Vol.7;0 Cards;27th January;2000
WGRT;War of the Giants Reinforcements;104 Cards;17th January;2014
WISU;Wild Survivors;0 Cards;1st June;2023
WIRA;Wing Raiders;60 Cards;12th February;2016
WC4;World Championship 2004;9 Cards;26th March;2004
WC5;World Championship 2005;3 Cards;15th February;2005
WC6;World Championship 2006;3 Cards;14th March;2006
WC07;World Championship 2007;3 Cards;20th March;2007
WC08;World Championship 2008;3 Cards;1st March;2008
WCPP;World Championship 2010 Card Pack;20 Cards;1st February;2010
WP11;World Championship 2011 Card Pack;20 Cards;1st January;2011
WCCP;World Championship Celebration Promos;9 Cards;12th August;2017
WQ11;World Championship Qualifier 2011 Promos;3 Cards;1st May;2011
WCS;World Championship Series Promos;50 Cards;27th July;2003
WPP1;World Premiere Pack 2020;97 Cards;3rd October;2020
WPP2;World Premiere Pack 2021;94 Cards;25th September;2021
WPP3;World Premiere Pack 2022;68 Cards;10th September;2022
WSUP;World Superstars;52 Cards;16th April;2015
XSPU;X-Saber Power-Up;1 Cards;23rd November;2010
YMP1-JP;Yu-Gi-Oh! 3D Bonds Beyond Time Movie Pack (Japanese);0 Cards;26th February;2011
WB01;Yu-Gi-Oh! 5D's Wheelie Breakers Promos;6 Cards;1st March;2009
YCPC;Yu-Gi-Oh! Calbee Chips;40 Cards;12th November;2018
YCSW;Yu-Gi-Oh! Championship Series Prize Cards;26 Cards;1st May;2013
MVP1-JP;Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack (OCG);45 Cards;23rd April;2016
MOV;Yu-Gi-Oh! The Movie;4 Cards;13th August;2004
YMA;Yu-Gi-Oh! The Movie Ani-Manga;2 Cards;23rd November;2004
YGMU;Yu-Gi-Oh! The Official Magazine Promos;2 Cards;1st January;2013
YUCB;Yugi's Collector Box;2 Cards;15th September;2017
YGLD;Yugi's Legendary Decks;133 Cards;12th November;2015
YGFC;Yugioh Filler Cards;2 Cards;1st January;2000
YGPR;Yugioh Products;0 Cards;1st January;2000
YZXX;ZEXAL Manga Promos;9 Cards;1st June;2011
ZDC1;ZEXAL World Duel Carnival Promos;3 Cards;26th June;2014
TAEV;Tactical Evolution;108 Cards;15th August;2007
TAEV-JP;Tactical Evolution (Japanese);0 Cards;12th May;2007
TAMA;Tactical Masters;75 Cards;25th August;2022
TDIL;The Dark Illusion;107 Cards;4th August;2016
TDIL-JP;The Dark Illusion (OCG);103 Cards;9th April;2016
MVP1;The Dark Side of Dimensions Movie Pack;187 Cards;21st July;2016
TDGS;The Duelist Genesis;114 Cards;1st September;2008
TDGS-JP;The Duelist Genesis (Japanese);0 Cards;19th April;2008
TFK;The Falsebound Kingdom Promos;8 Cards;1st November;2003
GDB1;The Gold Box;0 Cards;25th August;2012
GRCR;The Grand Creators;75 Cards;27th January;2022
INCH;The Infinity Chasers;60 Cards;21st March;2019
TLM;The Lost Millennium;89 Cards;1st June;2005
TLM-JP;The Lost Millennium (Japanese);0 Cards;24th February;2005
NECH;The New Challengers;121 Cards;6th November;2014
NECH-JP;The New Challengers (OCG);103 Cards;19th July;2014
301;The New Ruler;0 Cards;16th May;2002
TRC1;The Rarity Collection;137 Cards;20th December;2014
TSC;The Sacred Cards;9 Cards;30th January;2004
308;The Sanctuary in the Sky;0 Cards;20th November;2003
THSF;The Secret Forces;60 Cards;12th February;2015
TSHD;The Shining Darkness;112 Cards;1st May;2010
TSHD-JP;The Shining Darkness (Japanese);0 Cards;21st February;2010
TB;Thousand Eyes Bible;0 Cards;14th December;2000
305;Threat of the Dark Demon World;0 Cards;20th February;2003
TK01;Token Pack;0 Cards;20th June;2020
TK02;Token Pack Vol.2;0 Cards;5th December;2020
TK03;Token Pack Vol.3;0 Cards;26th June;2021
TKN1;Token Promos 1;4 Cards;1st January;2000
TKN2;Token Promos 2;3 Cards;1st January;2000
TKN3;Token Promos 3;9 Cards;1st January;2000
TKN4;Token Promos 4;35 Cards;1st March;2009
TOCH;Toon Chaos;75 Cards;18th June;2020
TP1;Tournament Pack 1;60 Cards;1st September;2002
TP2;Tournament Pack 2;30 Cards;1st October;2002
TP3;Tournament Pack 3;20 Cards;1st March;2003
TP4;Tournament Pack 4;20 Cards;1st October;2003
TP5;Tournament Pack 5;20 Cards;1st November;2004
TP6;Tournament Pack 6;20 Cards;1st June;2005
TP7;Tournament Pack 7;20 Cards;1st November;2005
TP8;Tournament Pack 8;20 Cards;28th April;2006
TU01;Turbo Pack;21 Cards;1st August;2009
TU08;Turbo Pack: Booster Eight;21 Cards;1st June;2012
TU05;Turbo Pack: Booster Five;21 Cards;1st April;2011
TU04;Turbo Pack: Booster Four;21 Cards;1st November;2010
TU07;Turbo Pack: Booster Seven;21 Cards;1st January;2012
TU06;Turbo Pack: Booster Six;21 Cards;1st August;2011
TU03;Turbo Pack: Booster Three;21 Cards;1st July;2010
TU02;Turbo Pack: Booster Two;21 Cards;1st January;2010
TWED;Twilight Edition;1 Cards;1st January;2010
